id_transaccion,id_cliente_origen,id_cliente_destino,tipo_transaccion,monto,fecha_hora,etiqueta_lavado,tipo_alerta,id_cliente,nombre_cliente,ocupacion,ingreso_mensual_declarado
TX-0029796,CLI-04590,SISTEMA,DEPOSITO_EFECTIVO,17543.53,2026-05-13 14:01:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0004187,CLI-00642,SISTEMA,DEPOSITO_EFECTIVO,43731.01,2026-05-13 14:55:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0018763,CLI-02904,SISTEMA,DEPOSITO_EFECTIVO,31656.95,2026-05-13 15:38:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0032541,CLI-04997,SISTEMA,DEPOSITO_EFECTIVO,15924.18,2026-05-13 17:36:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0012931,CLI-02000,SISTEMA,DEPOSITO_EFECTIVO,17766.87,2026-05-13 17:54:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0029851,CLI-04599,SISTEMA,DEPOSITO_EFECTIVO,30222.93,2026-05-13 17:56:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0005209,CLI-00802,SISTEMA,DEPOSITO_EFECTIVO,21993.99,2026-05-13 18:58:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0012827,CLI-01982,SISTEMA,DEPOSITO_EFECTIVO,31475.54,2026-05-13 19:02:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0016058,CLI-02484,SISTEMA,DEPOSITO_EFECTIVO,22739.28,2026-05-13 19:14:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0017025,CLI-02638,SISTEMA,DEPOSITO_EFECTIVO,37299.64,2026-05-13 19:48:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0026492,CLI-04078,SISTEMA,DEPOSITO_EFECTIVO,20330.96,2026-05-13 20:05:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0001068,CLI-00162,SISTEMA,DEPOSITO_EFECTIVO,15885.34,2026-05-13 20:32:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
TX-0015800,CLI-02444,SISTEMA,DEPOSITO_EFECTIVO,35809.69,2026-05-13 20:49:22,0,UMBRAL_EFECTIVO_EXCEDIDO,,,,
